flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
2.2,runtime,35ad48fe-6082-4a72-befb-c91706258071,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[209]",[209] [SQL] CEIL(f2 TO MINUTE),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,adabe250-0f78-46f7-a0d8-28f669218406,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[20]","[20] [API] extract(MICROSECOND, f2)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,aa3fb2ef-5069-4122-8bd2-47fbe9569626,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[210]","[210] [API] ceil(f0, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,54488393-9f4f-4428-9ce3-d758e98c2467,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[211]","[211] [API as SQL] ceil(f0, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,a564c8a6-075d-4987-b061-9cfc0bb95ba5,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[212]",[212] [SQL] CEIL(f0 TO HOUR),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIME,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,377fdae9-b228-4e20-9dad-fe45310a7c13,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[213]","[213] [API] ceil(f1, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,70860c36-69b4-4de7-8cb1-9c66cdbc74db,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[214]","[214] [API as SQL] ceil(f1, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,4de60388-6cb0-48ec-9ba3-e50e0accd683,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[215]",[215] [SQL] CEIL(f1 TO HOUR),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,379360ae-05b5-40a6-aad9-b5500d465389,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[216]","[216] [API] ceil(f2, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,b63e6b65-2411-411a-8efb-b3bee0dca169,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[217]","[217] [API as SQL] ceil(f2, HOUR)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,ab8c7f25-ef13-4de1-8042-1b58cd3570d3,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[218]",[218] [SQL] CEIL(f2 TO HOUR),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,71c8b0ff-0123-4add-8764-eb31f2983350,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[219]","[219] [API] ceil(f1, DAY)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,c97e682f-6fb9-4e30-ae44-b1b9ce167a00,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[21]","[21] [API as SQL] extract(MICROSECOND, f2)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,a253b8d2-e1f7-4e90-8d2b-677ea5ca1c2b,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[220]","[220] [API as SQL] ceil(f1, DAY)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,9213db9b-7962-40df-a30b-6acfd9ff5f0c,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[221]",[221] [SQL] CEIL(f1 TO DAY),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,0bb74052-8cbd-40c9-bcc6-eee8a103085c,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[222]","[222] [API] ceil(f2, DAY)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
