flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
1.18,runtime,00c62b21-bbbb-497e-b114-4b17be016648,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[215],"[215] [SQL] ARRAY_JOIN(f3, ' ', ' ')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,4855705e-fdc7-4044-ae52-109484b5bce9,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[216],"[216] [API] ARRAY_JOIN(f3, ' ', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,d128022e-97ec-43b7-b826-110a126d35ac,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[217],"[217] [SQL] ARRAY_JOIN(f3, ' ', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,c67570b3-d8be-4917-b8d0-6fac835477d3,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[218],"[218] [API] ARRAY_JOIN(f4, ' ', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,8cf54022-c12b-4fee-a835-083af90ac562,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[219],"[219] [SQL] ARRAY_JOIN(f4, ' ', '')",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,0c7ba681-7ea2-4046-a53b-daf9f55c77f9,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[21],"[21] [API] ARRAY_CONTAINS(f5, 4)",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,2e14ade9-0a40-4165-8408-72ead8e83d18,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[22],"[22] [SQL] ARRAY_CONTAINS(f5, 4)",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,8d70abac-f2aa-4f50-afe1-1b34e29dbe1e,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[235],"[235] [API] ARRAY_SLICE(f4, -123)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,06c31684-fe19-4818-9948-6657b14a682f,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[236],"[236] [SQL] ARRAY_SLICE(f4, -123)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,599a2c9e-b4ec-4035-8074-cb3b9cf464e4,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[237],"[237] [API] ARRAY_SLICE(f4, 0)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,53c0f5c5-8909-49e5-853e-dbad49d8d1d1,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[238],"[238] [SQL] ARRAY_SLICE(f4, 0)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,1a400792-5a80-49d8-8dac-29fd02b9e921,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[239],"[239] [API] ARRAY_SLICE(f4, -3)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,32fa9298-9bfa-4316-ad1e-3ce1d3f574fa,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[23],"[23] [API] ARRAY_CONTAINS(f5, 3)",1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,7035dd81-c05e-4112-b92e-f77a2f6ad68c,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[240],"[240] [SQL] ARRAY_SLICE(f4, -3)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,7eacb7c6-3612-44fa-9008-baaf70275eb4,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[241],"[241] [API] ARRAY_SLICE(f4, 9)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,b88d795b-a9e8-4491-a1fb-60c89f0aa049,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[242],"[242] [SQL] ARRAY_SLICE(f4, 9)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,b9c8e003-a9c3-4e87-88a6-e7608b28be56,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[243],"[243] [API] ARRAY_SLICE(f4, -123, -231)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
1.18,runtime,a0e15f8b-f5e6-451e-92ba-79ae7d81324c,org.apache.flink.table.planner.functions.CollectionFunctionsITCase,test(TestCase)[244],"[244] [SQL] ARRAY_SLICE(f4, -123, -231)",1,1,False,should be accelerated,scalar-expression,Calc: unsupported function/operator: ARRAY_SLICE,https://github.com/apache/flink/blob/release-1.18.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/CollectionFunctionsITCase.java
